Rank,Player,Pos,Team(s) played for (years)[b],Total points,Gamesplayed,Pointsper game[c],Field goalsmade,Three-pointfield goalsmade[d],Freethrowsmade
1,LeBron James^,SF,"Cleveland Cavaliers (2003 2010, 2014 2018)",38450,1413,27.2,14075,2240,8060
2,Kareem Abdul-Jabbar*,C,Milwaukee Bucks (1969 1975),38387,1560,24.6,15837,1,6712
3,Karl Malone*,PF,Utah Jazz (1985 2003),36928,1476,25,13528,85,9787
4,Kobe Bryant*,SG,Los Angeles Lakers (1996 2016),33643,1346,25,11719,1827,8378
5,Michael Jordan*,SG,"Chicago Bulls (1984 1993, 1995 1998)",32292,1072,30.1,12192,581,7327
6,Dirk Nowitzki ,PF/C,Dallas Mavericks (1998 2019),31560,1522,20.7,11169,1982,7240
7,Wilt Chamberlain*,C,Philadelphia/San Francisco Warriors (1959 1965),31419,1045,30.1,12681,0,6057
8,Shaquille O'Neal*,C,Orlando Magic (1992 1996),28596,1207,23.7,11330,1,5935
9,Carmelo Anthony^,SF,Denver Nuggets (2003 2011),28289,1260,22.5,10119,1731,6320
10,Moses Malone*,C,Buffalo Braves (1976),27409,1329,20.6,9435,8,8531
11,Elvin Hayes*,PF/C,"San Diego/Houston Rockets (1968 1972, 1981 1984)",27313,1303,21,10976,5,5356
12,Hakeem Olajuwon*,C,Houston Rockets (1984 2001),26946,1238,21.8,10749,25,5423
13,Kevin Durant^,SF/PF,Seattle SuperSonics/Oklahoma City Thunder (2007 2016),26764,981,27.3,9155,1848,6606
14,Oscar Robertson*,PG,Cincinnati Royals (1960 1970),26710,1040,25.7,9508,0,7694
15,Dominique Wilkins*,SF,Atlanta Hawks (1982 1994),26668,1074,24.8,9963,711,6031
16,Tim Duncan*,PF/C,San Antonio Spurs (1997 2016),26496,1392,19,10285,30,5896
17,Paul Pierce*,SF/SG,Boston Celtics (1998 2013),26397,1343,19.7,8668,2143,6918
18,John Havlicek*,SF/SG,Boston Celtics (1962 1978),26395,1270,20.8,10513,0,5369
19,Kevin Garnett*,PF/C,"Minnesota Timberwolves (1995 2007, 2015 2016)",26071,1462,17.8,10505,174,4887
20,Vince Carter ,SG/SF,Toronto Raptors (1999 2004),25728,1541,16.7,9293,2290,4852
21,Alex English*,SF,Milwaukee Bucks (1976 1978),25613,1193,21.5,10659,18,4277
22,Reggie Miller*,SG,Indiana Pacers (1987 2005),25279,1389,18.2,8241,2560,6237
23,Jerry West*,PG/SG,Los Angeles Lakers (1960 1974),25192,932,27,9016,0,7160
24,Patrick Ewing*,C,New York Knicks (1985 2000),24815,1183,21,9702,19,5392
25,James Harden^,SG/PG,Oklahoma City Thunder (2009 2012),24610,995,24.7,7262,2742,7344
26,Ray Allen*,SG,Milwaukee Bucks (1996 2003),24505,1300,18.9,8567,2973,4398
27,Allen Iverson*,SG/PG,"Philadelphia 76ers (1996 2006, 2009 2010)",24368,914,26.7,8467,1059,6375
28,Russell Westbrook^,PG,Oklahoma City Thunder (2008 2019),24269,1084,22.4,8683,1214,5689
29,Charles Barkley*,PF,Philadelphia 76ers (1984 1992),23757,1073,22.1,8435,538,6349
30,Robert Parish*,C,Golden State Warriors (1976 1980),23334,1611,14.5,9614,0,4106
31,Adrian Dantley*,SF,Buffalo Braves (1976 1977),23177,955,24.3,8169,7,6832
32,Dwyane Wade ,SG,"Miami Heat (2003 2016, 2018 2019)",23165,1054,22,8454,549,5708
33,Elgin Baylor*,SF,Minneapolis/Los Angeles Lakers (1958 1971),23149,846,27.4,8693,0,5763
34,Clyde Drexler*,SG,Portland Trail Blazers (1983 1995),22195,1086,20.4,8335,827,4698
35,Gary Payton*,PG,Seattle SuperSonics (1990 2003),21813,1335,16.3,8708,1132,3265
36,Larry Bird*,SF/PF,Boston Celtics (1979 1992),21791,897,24.3,8591,649,3960
37,Chris Paul^,PG,New Orleans Hornets (2005 2011),21613,1205,17.9,7639,1621,4714
38,Hal Greer*,SG/PG,Syracuse Nationals/Philadelphia 76ers (1958 1973),21586,1122,19.2,8504,0,4578
39,DeMar DeRozan^,SG/SF,Toronto Raptors (2009 2018),21522,1022,21.1,7730,449,5613
40,Stephen Curry^,PG,Golden State Warriors (2009 present),21465,873,24.6,7346,3351,3422
41,Walt Bellamy*,C,Chicago Packers/Zephyrs/Baltimore Bullets (1961 1965),20941,1043,20.1,7914,0,5113
42,Pau Gasol ,C/PF,Memphis Grizzlies (2001 2008),20894,1226,17,7980,179,4755
43,Bob Pettit*,PF/C,Milwaukee/St. Louis Hawks (1954 1965),20880,792,26.4,7349,0,6182
44,David Robinson*,C,San Antonio Spurs (1989 2003),20790,987,21.1,7365,25,6035
45,George Gervin*,SG/SF,San Antonio Spurs (1976 1985),20708,791,26.2,8045,77,4541
46,LaMarcus Aldridge ,PF/C,Portland Trail Blazers (2006 2015),20558,1076,19.1,8311,227,3709
47,Mitch Richmond*,SG,Golden State Warriors (1988 1991),20497,976,21,7305,1326,4561
48,Joe Johnson ,SG/SF,"Boston Celtics (2001 2002, 2021 2022)",20407,1277,16,7823,1978,2783
49,Tom Chambers,PF,San Diego Clippers (1981 1983),20049,1107,18.1,7378,227,5066
50,Antawn Jamison,PF/SF,Golden State Warriors (1998 2003),20042,1083,18.5,7679,1163,3521
